Gene	miRNA
PRDM16	hsa-mir-4251
MEGF6	hsa-mir-551a
ESPN	hsa-mir-4252
KIF1B	hsa-mir-1273d
VPS13D	ACA59
SNORA59B	ACA59
SNORA59A	ACA59
EIF4G3	hsa-mir-1256
EPHB2	hsa-mir-4253
KDM1A	hsa-mir-3115
RPS6KA1	hsa-mir-1976
SCARNA1	ACA35
PPP1R8	ACA35
SNHG3	U17a
RCC1	U17a
SNHG3	U17b
RCC1	U17b
SNORD99	HBII-420
SNHG12	HBII-420
SNORA61	ACA61
SNHG12	ACA61
SNORA44	ACA44
SNHG12	ACA44
SNORA16A	ACA16
SNHG12	ACA16
PUM1	U103
SNORD103B	U103
PUM1	U103B
SNORD103A	U103B
PUM1	HBII-251
SNORD85	HBII-251
BAI2	hsa-mir-4254
SNORA55	ACA55
PABPC4	ACA55
NFYC	hsa-mir-30e
NFYC	hsa-mir-30c-1
SNORD55	U55
RPS8	U55
SNORD46	U46
RPS8	U46
SNORD38A	U38A
RPS8	U38A
SNORD38B	U38B
RPS8	U38B
NRD1	hsa-mir-761
INADL	hsa-mir-3116-1
INADL	hsa-mir-3116-2
SGIP1	hsa-mir-3117
WLS	hsa-mir-1262
GNG12-AS1	hsa-mir-1262
ZRANB2	hsa-mir-186
SNORD45C	U45C
RABGGTB	U45C
SNORD45A	U45A
RABGGTB	U45A
SNORD45B	U45B
RABGGTB	U45B
SNORD21	U21
RPL5	U21
SNORA66	U66
RPL5	U66
RTCA	hsa-mir-553
SCARNA2	mgU2-25/61
SCARNA2	HBII-382
TTF2	hsa-mir-942
ADAMTSL4	hsa-mir-4257
TUFT1	hsa-mir-554
CKS1B	hsa-mir-4258
ASH1L	hsa-mir-555
KIAA0907	ACA42
SNORA42	ACA42
KIAA0907	ACA26
SCARNA4	ACA26
C1orf61	hsa-mir-9-1
ARHGEF11	hsa-mir-765
CCDC19	hsa-mir-4259
NOS1AP	hsa-mir-556
FAM78B	hsa-mir-921
DCAF6	hsa-mir-1255b-2
METTL11B	hsa-mir-3119-1
METTL11B	hsa-mir-3119-2
FMO3	hsa-mir-1295
DNM3	hsa-mir-214
DNM3OS	hsa-mir-214
DNM3	hsa-mir-3120
DNM3OS	hsa-mir-3120
DNM3	hsa-mir-199a-2
DNM3OS	hsa-mir-199a-2
SNORD81	U81
GAS5	U81
SNORD47	U47
GAS5	U47
SNORD80	U80
GAS5	U80
SNORD79	U79
GAS5	U79
SNORD78	U78
GAS5	U78
SNORD44	U44
GAS5	U44
SNORD77	U77
GAS5	U77
SNORD76	U76
GAS5	U76
SNORD75	U75
GAS5	U75
SNORD74	U74
GAS5	U74
RFWD2	HBI-100
SCARNA3	HBI-100
ASTN1	hsa-mir-488
ACBD6	hsa-mir-3121
CDC73	hsa-mir-1278
LOC100131234	hsa-mir-181b-1
LOC100131234	hsa-mir-181a-1
NAV1	hsa-mir-1231
ATP2B4	ACA63
SNORA77	ACA63
LAMB3	hsa-mir-4260
DTL	hsa-mir-3122
PPP2R5A	U98b
SNORA16B	U98b
RNU5F-1	hsa-mir-215
IARS2	hsa-mir-215
RNU5F-1	hsa-mir-194-1
IARS2	hsa-mir-194-1
RAB3GAP2	hsa-mir-664
SNORA36B	hsa-mir-664
RAB3GAP2	ACA36B
SNORA36B	ACA36B
NVL	hsa-mir-320b-2
FAM89A	hsa-mir-1182
TOMM20	ACA14b
SNORA14B	ACA14b
LYST	hsa-mir-1537
RGS7	hsa-mir-3123
C2orf48	hsa-mir-4261
SNORA80B	ACA67B
ODC1	ACA67B
LPIN1	hsa-mir-548s
TRIB2	hsa-mir-3125
DNMT3A	hsa-mir-1301
BRE	hsa-mir-4263
SNORD92	HBII-316
WDR43	HBII-316
SNORD53	U53
WDR43	U53
BIRC6	hsa-mir-558
EPCAM	hsa-mir-559
USP34	U70B
SNORA70B	U70B
ANTXR1	hsa-mir-3126
AAK1	SNORA36C
SNORA36C	SNORA36C
CTNNA2	hsa-mir-4264
PTCD3	U94
SNORD94	U94
CNNM4	hsa-mir-3127
SNORD89	HBII-289
SH3RF3	hsa-mir-4265
SH3RF3	hsa-mir-4266
ANKRD30BL	hsa-mir-663b
R3HDM1	hsa-mir-128-1
COBLL1	U70F
SNORA70F	U70F
ATF2	hsa-mir-933
NFE2L2	hsa-mir-3128
ZNF385B	hsa-mir-1258
GULP1	hsa-mir-561
COL3A1	hsa-mir-1245
COL5A2	hsa-mir-3129
NOP58	HBII-234
SNORD70	HBII-234
NOP58	HBII-95B
SNORD11B	HBII-95B
NOP58	HBII-95
SNORD11	HBII-95
EEF1B2	U51
SNORD51	U51
EEF1B2	ACA41
SNORA41	ACA41
FASTKD2	hsa-mir-3130-1
FASTKD2	hsa-mir-3130-2
FASTKD2	hsa-mir-3130-3
FASTKD2	hsa-mir-3130-4
KLF7	hsa-mir-2355
ERBB4	hsa-mir-548f-2
CTDSP1	hsa-mir-26b
