Gene	Protein
YWHAE	14-3-3_epsilon-M-C
EIF4EBP1	4E-BP1-R-V
EIF4EBP1	4E-BP1_pS65-R-V
EIF4EBP1	4E-BP1_pT37_T46-R-V
TP53BP1	53BP1-R-C
ACACA	ACC_pS79-R-V
ACACA	ACC1-R-C
AKT1	Akt-R-V
AKT1	Akt_pS473-R-V
AKT1	Akt_pT308-R-V
PRKAA1	AMPK_alpha-R-C
PRKAA1	AMPK_pT172-R-V
AR	AR-R-V
ATM	ATM-R-E
BAK1	Bak-R-C
BAX	Bax-R-V
BCL2	Bcl-2-M-V
BCL2L1	Bcl-xL-R-C
BECN1	Beclin-G-V
CTNNB1	beta-Catenin-R-V
BID	Bid-R-C
BCL2L11	Bim-R-V
JUN	c-Jun_pS73-R-C
KIT	c-Kit-R-V
MET	c-Met_pY1235-R-C
MYC	c-Myc-R-C
RAF1	C-Raf-R-V
RAF1	C-Raf_pS338-R-C
CASP7	Caspase-7_cleavedD198-R-C
CAV1	Caveolin-1-R-V
PECAM1	CD31-M-V
ITGA2	CD49b-M-V
CDK1	CDK1-R-V
CHEK1	Chk1-R-V
CHEK1	Chk1_pS345-R-C
CHEK2	Chk2-M-C
CHEK2	Chk2_pT68-R-C
BIRC2	cIAP-R-V
CLDN7	Claudin-7-R-V
COL6A1	Collagen_VI-R-V
CCNB1	Cyclin_B1-R-V
CCND1	Cyclin_D1-R-V
CCNE1	Cyclin_E1-M-V
PARK7	DJ-1-R-C
DVL3	Dvl3-R-V
CDH1	E-Cadherin-R-V
EEF2	eEF2-R-V
EEF2K	eEF2K-R-V
EGFR	EGFR_pY1068-R-V
EGFR	EGFR_pY1173-R-C
EIF4E	eIF4E-R-V
ESR1	ER-alpha-R-V
ESR1	ER-alpha_pS118-R-V
MAPK1	ERK2-R-E
FN1	Fibronectin-R-C
FOXO3	FOXO3a-R-C
GAB2	GAB2-R-V
GATA3	GATA3-M-V
GSK3B	GSK3-alpha-beta-M-V
GSK3B	GSK3-alpha-beta_pS21_S9-R-V
ERBB2	HER2-M-V
ERBB2	HER2_pY1248-R-V
ERBB3	HER3-M-C
ERBB3	HER3_pY1289-R-V
HSPA4	HSP70-R-C
