SYMBOL	IlmnID
ATP2A1	cg00000292
SLMAP	cg00002426
MEOX2	cg00003994
HOXD3	cg00005847
ZNF398	cg00006414
PANX1	cg00007981
COX8C	cg00008493
IMPA2	cg00008713
TTC8	cg00009407
FLJ35816	cg00010193
PMM2	cg00011459
RNASE4	cg00012199
SNAP47	cg00012386
TXNDC5	cg00012792
IGL@	cg00013618
RETSAT	cg00014085
ACRBP	cg00014837
QRFPR	cg00015770
RHOC	cg00016968
HOPX	cg00019495
TULP1	cg00020533
TAF15	cg00021527
TBC1D20	cg00022606
CCDC88B	cg00022866
ELOVL5	cg00024396
CPSF3	cg00024812
MAP3K9	cg00025138
DIP2C	cg00025991
EPB41L3	cg00027083
RAB38	cg00027674
CCNB1IP1	cg00029826
RPL36A	cg00029931
RNF207	cg00030047
TNFSF12-TNFSF13	cg00031162
NAT9	cg00032227
MAMLD1	cg00032666
KLF3	cg00033516
MORG1	cg00033773
C9orf85	cg00034039
NT5C2	cg00035347
UBE2S	cg00035623
SETBP1	cg00037763
PIK3CB	cg00037940
LSM7	cg00040861
NDUFB10	cg00040873
TSPAN32	cg00041575
LOC84856	cg00042156
NOXO1	cg00043004
PLD3	cg00043080
EPHA7	cg00044245
ENTHD1	cg00044729
CUL5	cg00047050
C9orf43	cg00047469
PPP2R3C	cg00049986
PRKCA	cg00050312
CASP1	cg00051623
C10orf4	cg00051979
TACO1	cg00053292
C7orf28B	cg00053647
C1D	cg00054706
RLN1	cg00055233
C13orf31	cg00056767
GML	cg00057593
TTC9B	cg00058938
GLRA1	cg00059225
PES1	cg00059424
C7orf49	cg00059740
RB1	cg00059930
LEO1	cg00060762
EIF2S3	cg00060882
TECR	cg00061059
ALX4	cg00061629
TULP2	cg00062776
KRT31	cg00063144
ACTL7A	cg00065385
CACNB3	cg00065408
ACRV1	cg00066153
IL12B	cg00066816
ATP5D	cg00067471
CDR2	cg00069261
FASLG	cg00071250
MSH5	cg00071998
MXD4	cg00072216
TRAPPC2L	cg00073650
STRA6	cg00075967
UBTD2	cg00076645
ZNF326	cg00077457
ASAP1	cg00077877
MDK	cg00078194
WAS	cg00078867
SPINK4	cg00079056
ARFGAP3	cg00079563
EED	cg00080012
TSPAN9	cg00081935
ABCC3	cg00081975
DSTN	cg00083720
MAPK8IP2	cg00083937
GATAD1	cg00084687
PCGF2	cg00089071
GATA4	cg00090147
KRT20	cg00091693
FLJ43826	cg00093177
PABPC3	cg00094319
KIF3C	cg00094851
CACNA1S	cg00095526
PLEKHO1	cg00095674
DLX5	cg00096922
ZFP36L2	cg00097536
ANKRD22	cg00098162
PNPLA6	cg00098239
HNRNPF	cg00099550
MPZ	cg00101227
MPDU1	cg00103783
NUDT14	cg00105253
C1orf35	cg00105470
TMEM179	cg00107187
TXNRD2	cg00107488
PGM2	cg00107632
C1QA	cg00108454
DGKH	cg00109274
PPP1R1B	cg00112517
